name,address,District Name,is_nabh_accredited,hospital_tier,google_rating,google_ratings_total,latitude,longitude,hospital_id
MAA  GYATRI HOSPITAL,"MAA  GYATRI HOSPITAL, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.2,107,26.6677977,83.3642334,5303
AcuraVision Clinics LLP,"AcuraVision Clinics LLP, MEERUT, UTTAR PRADESH",MEERUT,False,B,4.1,410,29.0018557,77.7679671,5304
MMD Baberu Banda,"MMD Baberu Banda, BANDA, UTTAR PRADESH",BANDA,False,B,4.2,366,25.4438537,80.5595237,5305
Nirmala Hospital,"Nirmala Hospital, Sant Kabir Nagar, UTTAR PRADESH",Sant Kabir Nagar,False,B,4.3,135,26.755082,83.0398545,5306
CHANDELS EYE CARE,"CHANDELS EYE CARE, MORADABAD, UTTAR PRADESH",MORADABAD,False,B,4.0,431,28.8796553,78.8095335,5307
VIRENDRA HOSPITAL ,"VIRENDRA HOSPITAL , ALLAHABAD, UTTAR PRADESH",ALLAHABAD,False,C,3.7,97,25.4539839,81.8402796,5308
SRI BALA JI HOSPITAL,"SRI BALA JI HOSPITAL, KUSHI NAGAR, UTTAR PRADESH",KUSHI NAGAR,False,B,4.0,423,26.4499,80.3319,5309
SANJEEVANI HOSPITAL,"SANJEEVANI HOSPITAL, CHITRAKOOT, UTTAR PRADESH",CHITRAKOOT,False,C,3.7,200,25.2171389,81.1045927,5310
sai eye care and medical centre,"sai eye care and medical centre, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,C,3.7,410,28.7749966,77.4586967,5311
RAJENDRA HOSPITAL,"RAJENDRA HOSPITAL, BULANDSHAHR, UTTAR PRADESH",BULANDSHAHR,False,B,4.1,373,28.3874073,77.9743805,5312
PURVANCHAL CHARITABLE EYE HOSPITAL,"PURVANCHAL CHARITABLE EYE HOSPITAL, KUSHI NAGAR, UTTAR PRADESH",KUSHI NAGAR,False,B,4.1,393,26.4499,80.3319,5313
Sahu Ramehwar Saran Kothiwal Hospital Heart and Neuro ,"Sahu Ramehwar Saran Kothiwal Hospital Heart and Neuro , MORADABAD, UTTAR PRADESH",MORADABAD,False,C,3.8,499,28.8796553,78.8095335,5314
JYOTI MULTISPECIALITY HOSPITAL AND TRAUMA CENTER,"JYOTI MULTISPECIALITY HOSPITAL AND TRAUMA CENTER, BAREILLY, UTTAR PRADESH",BAREILLY,False,B,4.2,352,28.4582344,79.4047452,5315
Gastro Liver hospital,"Gastro Liver hospital, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.0,367,26.7445088,83.3811243,5316
SANJAY SEWA SANSTHAN,"SANJAY SEWA SANSTHAN, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,C,3.7,165,26.6677977,83.3642334,5317
Stanford Super Speciality Hospital,"Stanford Super Speciality Hospital, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.7,241,26.8381,80.9346001,5318
MODERN MULTISPECIALITY HOSPITAL,"MODERN MULTISPECIALITY HOSPITAL, MORADABAD, UTTAR PRADESH",MORADABAD,False,B,4.1,388,28.8796553,78.8095335,5319
omaxent hospital,"omaxent hospital, SHAHJAHANPUR, UTTAR PRADESH",SHAHJAHANPUR,False,B,4.2,213,27.9128583,79.7476254,5320
Fauji Hospital and Eye Care Centre,"Fauji Hospital and Eye Care Centre, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.8,286,26.8381,80.9346001,5321
City Hospital Khairabad Sitapur ,"City Hospital Khairabad Sitapur , SITAPUR, UTTAR PRADESH",SITAPUR,False,B,4.1,51,27.5026747,80.8335139,5322
LIFE LINE HOSPITAL,"LIFE LINE HOSPITAL, MAINPURI, UTTAR PRADESH",MAINPURI,True,A,4.9,393,27.2093072,79.0625369,5323
Jeevan Jyoti Hospital,"Jeevan Jyoti Hospital, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,True,A,4.5,490,28.6469801,77.4124877,5324
TRIPATHI HOSPITAL AND TRAUMA CENTER,"TRIPATHI HOSPITAL AND TRAUMA CENTER, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.0,154,28.7749966,77.4586967,5325
GURU VASHISTH HOSPITAL,"GURU VASHISTH HOSPITAL, SHAMLI, UTTAR PRADESH",SHAMLI,False,B,4.0,127,29.4811507,77.2901344,5326
VIDHYA SHANTI HOSPITAL,"VIDHYA SHANTI HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,False,B,3.9,150,28.4582344,79.4047452,5327
LOKPRIYA HOSPITAL ,"LOKPRIYA HOSPITAL , GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.1,407,28.6675714,77.4346152,5328
SONI NETRALAYA,"SONI NETRALAYA, VARANASI, UTTAR PRADESH",VARANASI,False,B,4.2,247,25.3356491,83.0076292,5329
SS NURSING HOME,"SS NURSING HOME, MORADABAD, UTTAR PRADESH",MORADABAD,False,C,3.5,363,28.8796553,78.8095335,5330
R K HOSPITAL,"R K HOSPITAL, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,C,3.5,126,26.6677977,83.3642334,5331
MEDITREE HOSPITAL,"MEDITREE HOSPITAL, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.0,139,26.6677977,83.3642334,5332
DR. SHIVAKSHI HOSPITAL,"DR. SHIVAKSHI HOSPITAL, FARRUKHABAD, UTTAR PRADESH",FARRUKHABAD,False,C,3.7,79,27.4362002,79.4894778,5333
SUPER MAX MULTISPECIALITY HOSPITAL ,"SUPER MAX MULTISPECIALITY HOSPITAL , MORADABAD, UTTAR PRADESH",MORADABAD,False,C,3.7,155,28.8796553,78.8095335,5334
Children Hospital ,"Children Hospital , AZAMGARH, UTTAR PRADESH",AZAMGARH,False,B,3.9,105,26.0463876,83.1983435,5335
AYUSH ORTHOPAEDIC HOSPITAL,"AYUSH ORTHOPAEDIC HOSPITAL, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.0,372,26.6677977,83.3642334,5336
JHUJHUNWALA HOSPITAL,"JHUJHUNWALA HOSPITAL, FAIZABAD, UTTAR PRADESH",FAIZABAD,False,B,3.9,321,26.7807986,82.1486589,5337
Mamata Hospital,"Mamata Hospital, VARANASI, UTTAR PRADESH",VARANASI,False,B,4.2,115,25.3356491,83.0076292,5338
JEEVAK HOSPITAL,"JEEVAK HOSPITAL, MEERUT, UTTAR PRADESH",MEERUT,False,B,4.1,143,29.0018557,77.7679671,5339
M M KHAN NURSING HOME,"M M KHAN NURSING HOME, AZAMGARH, UTTAR PRADESH",AZAMGARH,False,C,3.5,86,26.023639,83.0293105,5340
Medicare Hospital,"Medicare Hospital, PILIBHIT, UTTAR PRADESH",PILIBHIT,False,B,4.0,289,28.4947158,80.1076122,5341
BINDU HOSPITAL,"BINDU HOSPITAL, MAU, UTTAR PRADESH",MAU,False,B,4.0,460,26.0390904,83.4985846,5342
VIKRAMVED HOSPITAL,"VIKRAMVED HOSPITAL, MEERUT, UTTAR PRADESH",MEERUT,False,C,3.6,252,29.0018557,77.7679671,5343
SIROHI NURSING HOME,"SIROHI NURSING HOME, BULANDSHAHR, UTTAR PRADESH",BULANDSHAHR,False,B,4.3,375,28.4087561,77.8499097,5344
SUMAN MATERNITY&CHILDREN HOSPITAL,"SUMAN MATERNITY&CHILDREN HOSPITAL, ALIGARH, UTTAR PRADESH",ALIGARH,False,B,4.1,311,27.8761073,78.1358153,5345
Life Line Neuro Trauma & Multi Speciality Hospital,"Life Line Neuro Trauma & Multi Speciality Hospital, BAREILLY, UTTAR PRADESH",BAREILLY,False,B,4.1,241,28.4582344,79.4047452,5346
NIZAM NURSHING HOME,"NIZAM NURSHING HOME, BUDAUN, UTTAR PRADESH",BUDAUN,False,B,4.3,179,28.0367001,79.1234,5347
HEALTH POINT HOSPITAL,"HEALTH POINT HOSPITAL, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,3.9,62,26.8381,80.9346001,5348
BHARDWAJ HOSPITAL ,"BHARDWAJ HOSPITAL , ALIGARH, UTTAR PRADESH",ALIGARH,True,A,4.8,473,27.8761073,78.1358153,5349
MAA CHANDRIKA DEVI HOSPITAL,"MAA CHANDRIKA DEVI HOSPITAL, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.2,247,26.8381,80.9346001,5350
UDYAN HEALTHCARE PVT LTD,"UDYAN HEALTHCARE PVT LTD, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.8,343,26.8381,80.9346001,5351
VATSALYA  AROGYADHAM,"VATSALYA  AROGYADHAM, ETAH, UTTAR PRADESH",ETAH,False,B,4.0,300,27.5550357,78.5992221,5352
YASHODA SUPER SPECIALITY HOSPITAL,"YASHODA SUPER SPECIALITY HOSPITAL, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,True,A,4.4,318,28.6600637,77.4385178,5353
VENKTESWER HOSPITAL,"VENKTESWER HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.7,264,28.4582344,79.4047452,5354
CHANDNI CHILD CARE AND MATERNITY  HOSPITAL,"CHANDNI CHILD CARE AND MATERNITY  HOSPITAL, FATEHPUR, UTTAR PRADESH",FATEHPUR,False,C,3.8,296,25.8348023,80.9154547,5355
INDIRA GANDHI EYE HOSPITAL AND RESEARCH CENTRE,"INDIRA GANDHI EYE HOSPITAL AND RESEARCH CENTRE, Amethi, UTTAR PRADESH",Amethi,False,C,3.8,202,26.346274,81.6252039,5356
Dhru Netrlaya & chikshalya,"Dhru Netrlaya & chikshalya, Sant Kabir Nagar, UTTAR PRADESH",Sant Kabir Nagar,False,B,4.3,278,26.755082,83.0398545,5357
KRISHNA HOSPITAL AND MATERNITY HOME,"KRISHNA HOSPITAL AND MATERNITY HOME, FATEHPUR, UTTAR PRADESH",FATEHPUR,False,B,4.3,337,25.8348023,80.9154547,5358
VIDHYA HOSPITALS AND TRAUMA CENTRE,"VIDHYA HOSPITALS AND TRAUMA CENTRE, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.5,415,26.8381,80.9346001,5359
JIVISHA MEDICAL CENTRE,"JIVISHA MEDICAL CENTRE, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.0,207,26.8381,80.9346001,5360
GANPATI HOSPITAL & TRAUMA CENTRE,"GANPATI HOSPITAL & TRAUMA CENTRE, MEERUT, UTTAR PRADESH",MEERUT,False,B,3.9,488,29.0018557,77.7679671,5361
Aarav eye clinic,"Aarav eye clinic, ALLAHABAD, UTTAR PRADESH",ALLAHABAD,False,C,3.7,383,25.4381302,81.8338005,5362
Aarogyavaram Hospital,"Aarogyavaram Hospital, ALLAHABAD, UTTAR PRADESH",ALLAHABAD,False,B,4.1,363,25.4381302,81.8338005,5363
CARE PLUS HOSPITAL,"CARE PLUS HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.6,472,28.4582344,79.4047452,5364
JAHANGIRABAD HOSPITAL,"JAHANGIRABAD HOSPITAL, BULANDSHAHR, UTTAR PRADESH",BULANDSHAHR,False,C,3.7,461,28.3874073,77.9743805,5365
Prema Multispecialty Hospital,"Prema Multispecialty Hospital, MAU, UTTAR PRADESH",MAU,False,B,4.2,365,26.0390904,83.4985846,5366
Athenity Care,"Athenity Care, VARANASI, UTTAR PRADESH",VARANASI,False,B,4.2,101,25.3356491,83.0076292,5367
R S MAITRI HEALTH CARE,"R S MAITRI HEALTH CARE, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.0,350,28.7749966,77.4586967,5368
SMART HOSPITAL,"SMART HOSPITAL, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.0,320,28.7749966,77.4586967,5369
HARSH HOSPITAL,"HARSH HOSPITAL, ALLAHABAD, UTTAR PRADESH",ALLAHABAD,False,B,4.0,287,25.446226,81.8513037,5370
Holy Care Hospital,"Holy Care Hospital, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.7,254,26.8381,80.9346001,5371
DR ABHAY SINGH MEMORIYAL HOSPITAL AND ULTRASOUND CENTER,"DR ABHAY SINGH MEMORIYAL HOSPITAL AND ULTRASOUND CENTER, BHADOHI, UTTAR PRADESH",BHADOHI,False,B,4.2,148,25.424304,82.4883923,5372
VINAYAK HOSPITAL,"VINAYAK HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,True,A,4.8,76,28.3474214,79.4256766,5373
SANGI HOSPITAL ,"SANGI HOSPITAL , MATHURA, UTTAR PRADESH",MATHURA,False,B,4.0,125,27.4955539,77.6855554,5374
Nidhi Eye and Multispeciality Hospital,"Nidhi Eye and Multispeciality Hospital, AGRA, UTTAR PRADESH",AGRA,False,B,4.1,414,27.1752554,78.0098161,5375
KAMLA HOSPITAL,"KAMLA HOSPITAL, JHANSI, UTTAR PRADESH",JHANSI,False,C,3.8,287,25.4582886,78.6152752,5376
SHRI BALAJI HOSPITAL,"SHRI BALAJI HOSPITAL, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.6,282,28.4582344,79.4047452,5377
AJAY RAMBAHADUR SHIVAJI TEJBAHADUR HOSPITAL,"AJAY RAMBAHADUR SHIVAJI TEJBAHADUR HOSPITAL, MAU, UTTAR PRADESH",MAU,False,C,3.6,105,26.0390904,83.4985846,5378
Ayushmaan Hospital,"Ayushmaan Hospital, SHAMLI, UTTAR PRADESH",SHAMLI,False,B,4.1,114,29.4811507,77.2901344,5379
YASHODA SUPERSPECIALITY HOSPITAL AND CANCER INSTITUTE A UNIT OF VIVEKANAND NURSING HOME PVT LTD,"YASHODA SUPERSPECIALITY HOSPITAL AND CANCER INSTITUTE A UNIT OF VIVEKANAND NURSING HOME PVT LTD, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,3.9,58,28.7749966,77.4586967,5380
SARAN HOSPITAL AND INSTITUTE OF PARAMEDICAL SCIENCES,"SARAN HOSPITAL AND INSTITUTE OF PARAMEDICAL SCIENCES, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.7,71,28.4582344,79.4047452,5381
SHIVANGI CLINIC,"SHIVANGI CLINIC, JAUNPUR, UTTAR PRADESH",JAUNPUR,False,B,4.3,226,25.7967065,82.4888992,5382
PRATIMA MATERNITY AND EYE REASEARCH CENTRE,"PRATIMA MATERNITY AND EYE REASEARCH CENTRE, MAU, UTTAR PRADESH",MAU,False,C,3.5,284,26.0390904,83.4985846,5383
JEEVAN HOSPITAL AND TEST TUBE BABY CENTRE PVT LTD,"JEEVAN HOSPITAL AND TEST TUBE BABY CENTRE PVT LTD, ALIGARH, UTTAR PRADESH",ALIGARH,False,B,4.2,338,27.8761073,78.1358153,5384
FAIYAZ CARE HOSPITAL ,"FAIYAZ CARE HOSPITAL , BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.8,446,28.4582344,79.4047452,5385
MAA SHANTI MEMORIAL HOSPITAL,"MAA SHANTI MEMORIAL HOSPITAL, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,B,4.2,365,26.6677977,83.3642334,5386
